127.0.0.1 - - [28/Feb/2019:11:15:30 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:31 +0800] "GET /rentForDZ/login.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:32 +0800] "GET /rentForDZ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:32 +0800] "GET /rentForDZ/scripts/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:32 +0800] "GET /rentForDZ/scripts/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:32 +0800] "GET /rentForDZ/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:32 +0800] "GET /rentForDZ/images/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:32 +0800] "GET /rentForDZ/CheckCodeServlet HTTP/1.1" 200 1142
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:37 +0800] "GET /rentForDZ/JumpServlet?flag=register HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:37 +0800] "GET /rentForDZ/scripts/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:15:37 +0800] "GET /rentForDZ/scripts/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:16:35 +0800] "GET /rentForDZ/login.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:16:35 +0800] "GET /rentForDZ/CheckCodeServlet HTTP/1.1" 200 1442
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:16:43 +0800] "GET /rentForDZ/CheckCodeServlet?t=0.9952765224953058 HTTP/1.1" 200 1220
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:16:43 +0800] "GET /rentForDZ/Number.jsp?id=0.7912813649750154 HTTP/1.1" 500 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:16:50 +0800] "GET /rentForDZ/JumpServlet?flag=register HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:17:09 +0800] "POST /rentForDZ/UserServlet?flag=addUser HTTP/1.1" 200 1668
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:17:13 +0800] "GET /rentForDZ/login.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:17:13 +0800] "GET /rentForDZ/CheckCodeServlet HTTP/1.1" 200 1023
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:17:43 +0800] "GET /rentForDZ/JumpServlet?flag=register HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:19 +0800] "POST /rentForDZ/UserServlet?flag=addUser HTTP/1.1" 200 130
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/register.jsp HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/scripts/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/scripts/My97DatePicker/WdatePicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/scripts/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:22 +0800] "GET /rentForDZ/scripts/My97DatePicker/skin/WdatePicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:18:50 +0800] "GET /rentForDZ/login.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:19:05 +0800] "POST /rentForDZ/UserServlet?flag=login HTTP/1.1" 200 6769
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:19:05 +0800] "GET /rentForDZ/upload/2.jpg HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:19:05 +0800] "GET /rentForDZ/upload/6501.jpg HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:19:05 +0800] "GET /rentForDZ/upload/129hashiqi_03.gif HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:19:05 +0800] "GET /rentForDZ/css/style1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:19:05 +0800] "GET /rentForDZ/images/letter.gif HTTP/1.1" 304 -
