127.0.0.1 - - [01/Mar/2019:11:24:09 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:10 +0800] "GET /rentForDZ/login.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:10 +0800] "GET /rentForDZ/CheckCodeServlet HTTP/1.1" 200 1118
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:40 +0800] "POST /rentForDZ/UserServlet?flag=login HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:43 +0800] "GET /rentForDZ/login.jsp HTTP/1.1" 200 2579
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:43 +0800] "GET /rentForDZ/images/logo.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:43 +0800] "GET /rentForDZ/scripts/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:43 +0800] "GET /rentForDZ/scripts/jquery-1.8.3.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:43 +0800] "GET /rentForDZ/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:24:43 +0800] "GET /rentForDZ/CheckCodeServlet HTTP/1.1" 200 1332
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:25:13 +0800] "GET /rentForDZ/JumpServlet?flag=register HTTP/1.1" 200 2423
0:0:0:0:0:0:0:1 - - [01/Mar/2019:11:25:13 +0800] "GET /rentForDZ/JumpServlet?flag=register HTTP/1.1" 200 -
